# text = increase and decrease in volume or pitch, as if in waves; 
# id = 00581355-v-1
# type = def
1	increase	wf	VB	increase%1|increase%2	increase%2:30:02::	man	0:8
# id = 00583905-v-1
# type = def
1	make	wf	VB	make%1|make%2	make%2:30:00::	man	0:4
2	motionless	wf	JJ	motionless%3	motionless%5:00:00:nonmoving:00	auto	5:15

# text = become vascular and have vessels that circulate fluids; 
# id = 00581671-v-1
# type = def
1	become	wf	VB	become%2	_	un	0:6
2	vascular	wf	JJ	vascular%3	vascular%3:01:00::	auto	7:15
3	and	wf	CC	and	_	ignore	16:19
4	have	wf	VBP	have%1|have%2	_	un	20:24
5	vessels	wf	NNS	vessel%1	vessel%1:08:00::	man	25:32
6	that	wf	WDT	that	_	ignore	33:37
7	circulate	wf	VBP	circulate%2	circulate%2:38:04::	man	38:47
8	fluids	wf	NNS	fluid%1	fluid%1:27:02::	man	48:54
9	;	wf	punc	_	_	ignore	54:55

# text = The egg yolk vascularized
# id = 00581671-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	egg	wf	_	egg%1|egg%2	_	un	4:7
3	yolk	wf	_	yolk%1	_	un	8:12
4	vascularized	wf	_	vascularize%2	vascularize%2:30:01::	auto	13:25

# text = make more striking or animated; 
# id = 00582145-v-1
# type = def
1	make	wf	VB	make%1|make%2	make%2:30:00::	man	0:4
2	more	wf	RBR	many%3|more%3|much%3|more%4|much%4	_	un	5:9
3	striking	wf	JJ	striking%1|strike%2|striking%3	striking%5:00:00:impressive:00	man	10:18
4	or	wf	CC	or	_	ignore	19:21
5	animated	wf	VBN	animate%2|animated%3	animated%3:00:00::	man	22:30
6	;	wf	punc	_	_	ignore	30:31

# text = his remarks always vivify an otherwise dull story
# id = 00582145-v-2
# type = ex
1	his	wf	_	his	_	ignore	0:3
2	remarks	wf	_	remark%1|remark%2	_	un	4:11
3	always	wf	_	always%4	_	un	12:18
4	vivify	wf	_	vivify%2	vivify%2:30:01::	auto	19:25
5	an	wf	_	an	_	ignore	26:28
6	otherwise	wf	_	otherwise%3|otherwise%4	_	un	29:38
7	dull	wf	_	dull%2|dull%3	_	un	39:43
8	story	wf	_	story%1	_	un	44:49

# text = become superficially burned; 
# id = 00582743-v-1
# type = def
1	become	wf	VB	become%2	_	un	0:6
2	superficially	wf	RB	superficially%4	superficially%4:02:00::	auto	7:20
3	burned	wf	VBN	burn%2|burned%3	_	un	21:27
4	;	wf	punc	_	_	ignore	27:28

# text = my eyebrows singed when I bent over the flames
# id = 00582743-v-2
# type = ex
1	my	wf	_	my	_	ignore	0:2
2	eyebrows	wf	_	eyebrow%1	_	un	3:11
3	singed	wf	_	singe%2	singe%2:30:07::	auto	12:18
4	when	wf	_	when	_	ignore	19:23
5	I	wf	_	I	_	ignore	24:25
6	bent	wf	_	bent%1|bend%2|bent%3	_	un	26:30
7	over	wf	_	over%1|over%3|over%4	_	un	31:35
8	the	wf	_	the	_	ignore	36:39
9	flames	wf	_	flame%1|flame%2	_	un	40:46

# text = make subordinate, dependent, or subservient; 
# id = 00579712-v-1
# type = def
1	make	wf	VB	make%1|make%2	make%2:30:00::	man	0:4
2	subordinate	wf	JJ	subordinate%1|subordinate%2|subordinate%3	subordinate%3:00:02::	man	5:16
3	,	wf	punc	_	_	ignore	16:17
4	dependent	wf	JJ	dependent%1|dependent%3	_	un	18:27
5	,	wf	punc	_	_	ignore	27:28
6	or	wf	CC	or	_	ignore	29:31
7	subservient	wf	JJ	subservient%3	subservient%5:00:00:subordinate:02	man	32:43
8	;	wf	punc	_	_	ignore	43:44

# text = Our wishes have to be subordinated to that of our ruler
# id = 00579712-v-2
# type = ex
1	Our	wf	_	our	_	ignore	0:3
2	wishes	wf	_	wish%1|wish%2	_	un	4:10
3	have	wf	_	have%1|have%2	_	un	11:15
4	to	wf	_	to	_	ignore	16:18
5	be	wf	_	be%2	_	un	19:21
6	subordinated	wf	_	subordinate%2	subordinate%2:30:03::	auto	22:34
7	to	wf	_	to	_	ignore	35:37
8	that	wf	_	that	_	ignore	38:42
9	of	wf	_	of	_	ignore	43:45
10	our	wf	_	our	_	ignore	46:49
11	ruler	wf	_	ruler%1	_	un	50:55

# text = make pliant and flexible; 
# id = 00582917-v-1
# type = def
1	make	wf	VB	make%1|make%2	make%2:30:00::	man	0:4
2	pliant	wf	JJ	pliant%3	pliant%5:00:00:flexible:01	man	5:11
3	and	wf	CC	and	_	ignore	12:15
4	flexible	wf	JJ	flexible%3	_	un	16:24
5	;	wf	punc	_	_	ignore	24:25

# text = These boots are not yet suppled by frequent use
# id = 00582917-v-2
# type = ex
1	These	wf	_	these	_	ignore	0:5
2	boots	wf	_	boot%1|boot%2	_	un	6:11
3	are	wf	_	are%1|be%2	_	un	12:15
4	not	wf	_	not%4	_	un	16:19
5	yet	wf	_	yet%4	_	un	20:23
6	suppled	wf	_	supple%2	supple%2:30:00::	auto	24:31
7	by	wf	_	by	_	ignore	32:34
8	frequent	wf	_	frequent%2|frequent%3	_	un	35:43
9	use	wf	_	use%1|use%2	_	un	44:47

# text = furnish with an opening to allow air to circulate or gas to escape; 
# id = 00581891-v-1
# type = def
1	furnish	wf	VB	furnish%2	_	un	0:7
2	with	wf	IN	with	_	ignore	8:12
3	an	wf	DT	an	_	ignore	13:15
4	opening	wf	NN	opening%1|open%2|opening%3	opening%1:17:00::	man	16:23
5	to	wf	TO	to	_	ignore	24:26
6	allow	wf	VB	allow%2	_	un	27:32
7	air	wf	NN	air%1|air%2	air%1:27:00::	man	33:36
8	to	wf	TO	to	_	ignore	37:39
9	circulate	wf	VB	circulate%2	circulate%2:38:01::	man	40:49
10	or	wf	CC	or	_	ignore	50:52
11	gas	wf	VB	gas%1|gas%2	gas%1:27:00::	man	53:56
12	to	wf	TO	to	_	ignore	57:59
13	escape	wf	VB	escape%1|escape%2	escape%2:30:04::	man	60:66
14	;	wf	punc	_	_	ignore	66:67

# text = The architect did not think about ventilating the storage space
# id = 00581891-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	architect	wf	_	architect%1	_	un	4:13
3	did	wf	_	do%2	_	un	14:17
4	not	wf	_	not%4	_	un	18:21
5	think	wf	_	think%1|think%2	_	un	22:27
6	about	wf	_	about%3|about%4	_	un	28:33
7	ventilating	wf	_	ventilate%2	ventilate%2:30:01::	auto	34:45
8	the	wf	_	the	_	ignore	46:49
9	storage	wf	_	storage%1	_	un	50:57
10	space	wf	_	space%1|space%2	_	un	58:63

# text = make obscene; 
# id = 00583759-v-1
# type = def
1	make	wf	VB	make%1|make%2	make%2:30:00::	man	0:4
2	obscene	wf	JJ	obscene%3	obscene%5:00:00:indecent:00	man	5:12
3	;	wf	punc	_	_	ignore	12:13

# text = This line in the play smuts the entire act
# id = 00583759-v-2
# type = ex
1	This	wf	_	this	_	ignore	0:4
2	line	wf	_	line%1|line%2	_	un	5:9
3	in	wf	_	in	_	ignore	10:12
4	the	wf	_	the	_	ignore	13:16
5	play	wf	_	play%1|play%2	_	un	17:21
6	smuts	wf	_	smut%1|smut%2	smut%2:30:02::	auto	22:27
7	the	wf	_	the	_	ignore	28:31
8	entire	wf	_	entire%1|entire%3	_	un	32:38
9	act	wf	_	act%1|act%2	_	un	39:42

# text = undergo a sudden and severe downturn; 
# id = 00583064-v-1
# type = def
1	undergo	wf	VB	undergo%2	_	un	0:7
2	a	wf	DT	a	_	ignore	8:9
3	sudden	wf	JJ	sudden%3	sudden%3:00:00::	auto	10:16
4	and	wf	CC	and	_	ignore	17:20
5	severe	wf	JJ	severe%3	severe%5:00:01:bad:00	man	21:27
6	downturn	wf	NN	downturn%1	downturn%1:04:00::	auto	28:36
7	;	wf	punc	_	_	ignore	36:37

# text = the economy crashed
# id = 00583064-v-2
# type = ex
1	the	wf	_	the	_	ignore	0:3
2	economy	wf	_	economy%1	_	un	4:11
3	crashed	wf	_	crash%2	crash%2:30:11::	auto	12:19

# text = will the stock market crash again?
# id = 00583064-v-3
# type = ex
1	will	wf	_	will%1|will%2	_	un	0:4
2	the	wf	_	the	_	ignore	5:8
3	stock	wf	_	stock%1|stock%2|stock%3	_	un	9:14
4	market	wf	_	market%1|market%2	_	un	15:21
5	crash	wf	_	crash%1|crash%2	crash%2:30:11::	auto	22:27
6	again	wf	_	again%4	_	un	28:33
7	?	wf	punc	_	_	ignore	33:34

# text = destroy completely by or as if by fire; 
# id = 00582527-v-1
# type = def
1	destroy	wf	VB	destroy%2	_	un	0:7
2	completely	wf	RB	completely%4	_	un	8:18
3	by	wf	IN	by	_	ignore	19:21
4	or	wf	CC	or	_	ignore	22:24
5	as	wf	IN	as	_	ignore	25:27
6	if	wf	IN	if	_	ignore	28:30
7	by	wf	IN	by	_	ignore	31:33
8	fire	wf	NN	fire%1|fire%2	fire%1:22:00::	man	34:38
9	;	wf	punc	_	_	ignore	38:39

# text = The wildfire scorched the forest and several homes
# id = 00582527-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	wildfire	wf	_	wildfire%1	_	un	4:12
3	scorched	wf	_	scorch%2|scorched%3	scorch%2:30:05::	auto	13:21
4	the	wf	_	the	_	ignore	22:25
5	forest	wf	_	forest%1|forest%2	_	un	26:32
6	and	wf	_	and	_	ignore	33:36
7	several	wf	_	several%3	_	un	37:44
8	homes	wf	_	home%1|home%2	_	un	45:50

# text = the invaders scorched the land
# id = 00582527-v-3
# type = ex
1	the	wf	_	the	_	ignore	0:3
2	invaders	wf	_	invader%1	_	un	4:12
3	scorched	wf	_	scorch%2|scorched%3	scorch%2:30:05::	auto	13:21
4	the	wf	_	the	_	ignore	22:25
5	land	wf	_	land%1|land%2	_	un	26:30

# text = give better travel conditions to; 
# id = 00583991-v-1
# type = def
1	give	wf	VB	give%1|give%2	_	un	0:4
2	better	wf	JJR	better%1|better%2|better%3|good%3|well%3|better%4|well%4	better%3:00:00::	man	5:11
3	travel	wf	NN	travel%1|travel%2	travel%1:04:00::	man	12:18
4	conditions	wf	NNS	condition%1|conditions%1|condition%2	_	un	19:29
5	to	wf	TO	to	_	ignore	30:32
6	;	wf	punc	_	_	ignore	32:33

# text = The airline upgraded me when I arrived late and Coach Class was full
# id = 00583991-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	airline	wf	_	airline%1	_	un	4:11
3	upgraded	wf	_	upgrade%2	upgrade%2:30:04::	auto	12:20
4	me	wf	_	me	_	ignore	21:23
5	when	wf	_	when	_	ignore	24:28
6	I	wf	_	I	_	ignore	29:30
7	arrived	wf	_	arrive%2	_	un	31:38
8	late	wf	_	late%3|late%4	_	un	39:43
9	and	wf	_	and	_	ignore	44:47
10	Coach	wf	_	Coach	_	un	48:53
11	Class	wf	_	Class	_	un	54:59
12	was	wf	_	be%2	_	un	60:63
13	full	wf	_	full%1|full%2|full%3|full%4	_	un	64:68

# text = get better travel conditions; 
# id = 00584220-v-1
# type = def
1	get	wf	VB	get%1|get%2	_	un	0:3
2	better	wf	JJR	better%1|better%2|better%3|good%3|well%3|better%4|well%4	better%3:00:00::	man	4:10
3	travel	wf	NN	travel%1|travel%2	_	un	11:17
4	conditions	wf	NNS	condition%1|conditions%1|condition%2	_	un	18:28
5	;	wf	punc	_	_	ignore	28:29

# text = I upgraded to First Class when Coach Class was overbooked
# id = 00584220-v-2
# type = ex
1	I	wf	_	I	_	ignore	0:1
2	upgraded	wf	_	upgrade%2	upgrade%2:30:05::	auto	2:10
3	to	wf	_	to	_	ignore	11:13
4	First	wf	_	First	_	un	14:19
5	Class	wf	_	Class	_	un	20:25
6	when	wf	_	when	_	ignore	26:30
7	Coach	wf	_	Coach	_	un	31:36
8	Class	wf	_	Class	_	un	37:42
9	was	wf	_	be%2	_	un	43:46
10	overbooked	wf	_	overbooked	_	un	47:57

# text = convert (an amine) into a diazo compound
# id = 00585298-v-1
# type = def
1	convert	wf	VB	convert%1|convert%2	convert%2:30:03::	man	0:7
2	_	aux	_	_	_	_	_
3	(	wf	punc	_	_	ignore	8:9
4	an	wf	DT	an	_	ignore	9:11
5	amine	wf	NN	amine%1	amine%1:27:00::	auto	12:17
6	)	wf	punc	_	_	ignore	17:18
7	_	aux	_	_	_	_	_
8	into	wf	IN	into	_	ignore	19:23
9	a	wf	DT	a	_	ignore	24:25
10	diazo	wf	JJ	diazo%3	diazo%3:01:00::	auto	26:31
11	compound	wf	NN	compound%1|compound%2|compound%3	compound%1:27:00::	man	32:40

# text = make professional or give a professional character to; 
# id = 00583242-v-1
# type = def
1	make	wf	VB	make%1|make%2	make%2:30:00::	man	0:4
2	professional	wf	JJ	professional%1|professional%3	professional%3:00:01::	man	5:17
3	or	wf	CC	or	_	ignore	18:20
4	give	wf	VB	give%1|give%2	_	un	21:25
5	a	wf	DT	a	_	ignore	26:27
6	professional	wf	JJ	professional%1|professional%3	professional%3:01:01::	man	28:40
7	character	wf	NN	character%1|character%2	_	un	41:50
8	to	wf	TO	to	_	ignore	51:53
9	;	wf	punc	_	_	ignore	53:54

# text = Philosophy has not always been professionalized and used to be a subject pursued only by amateurs
# id = 00583242-v-2
# type = ex
1	Philosophy	wf	_	philosophy%1	_	un	0:10
2	has	wf	_	have%2	_	un	11:14
3	not	wf	_	not%4	_	un	15:18
4	always	wf	_	always%4	_	un	19:25
5	been	wf	_	be%2	_	un	26:30
6	professionalized	wf	_	professionalize%2	professionalize%2:30:00::	auto	31:47
7	and	wf	_	and	_	ignore	48:51
8	used	wf	_	use%2|used%3	_	un	52:56
9	to	wf	_	to	_	ignore	57:59
10	be	wf	_	be%2	_	un	60:62
11	a	wf	_	a	_	ignore	63:64
12	subject	wf	_	subject%1|subject%2|subject%3	_	un	65:72
13	pursued	wf	_	pursued%1|pursue%2|pursued%3	_	un	73:80
14	only	wf	_	only%3|only%4	_	un	81:85
15	by	wf	_	by	_	ignore	86:88
16	amateurs	wf	_	amateur%1	_	un	89:97

# text = become professional or proceed in a professional manner or in an activity for pay or as a means of livelihood
# id = 00583523-v-1
# type = def
1	become	wf	VB	become%2	_	un	0:6
2	professional	wf	JJ	professional%1|professional%3	professional%3:00:01::	man	7:19
3	or	wf	CC	or	_	ignore	20:22
4	proceed	wf	VB	proceed%2	proceed%2:30:00::	man	23:30
5	in	wf	IN	in	_	ignore	31:33
6	a	wf	DT	a	_	ignore	34:35
7	professional	wf	JJ	professional%1|professional%3	professional%3:00:02::	man	36:48
8	manner	wf	NN	manner%1	manner%1:07:02::	man	49:55
9	or	wf	CC	or	_	ignore	56:58
10	in	wf	IN	in	_	ignore	59:61
11	an	wf	DT	an	_	ignore	62:64
12	activity	wf	NN	activity%1	_	un	65:73
13	for	wf	IN	for	_	ignore	74:77
14	pay	wf	NN	pay%1|pay%2	pay%1:21:01::	man	78:81
15	or	wf	CC	or	_	ignore	82:84
16	as	wf	IN	as	_	ignore	85:87
17	a	wf	DT	a	_	ignore	88:89
18	means	wf	NN	mean%1|means%1|mean%2	means%1:04:00::	man	90:95
19	of	wf	IN	of	_	ignore	96:98
20	livelihood	wf	NN	livelihood%1	livelihood%1:21:00::	auto	99:109

# text = convert (plant material) into hay
# id = 00585405-v-1
# type = def
1	convert	wf	VB	convert%1|convert%2	convert%2:30:03::	man	0:7
2	_	aux	_	_	_	_	_
3	(	wf	punc	_	_	ignore	8:9
4	_	glob|a	_	plant_material%1	plant_material%1:27:00::	man	_
5	plant	cf|a	NN	plant%1|plant%2	_	un	9:14
6	material	cf|a	NN	material%1|material%3	_	un	15:23
7	)	wf	punc	_	_	ignore	23:24
8	_	aux	_	_	_	_	_
9	into	wf	IN	into	_	ignore	25:29
10	hay	wf	NN	hay%1|hay%2	hay%1:13:00::	man	30:33

# text = convert into wood or cause to become woody
# id = 00585499-v-1
# type = def
1	convert	wf	VB	convert%1|convert%2	convert%2:30:03::	man	0:7
2	into	wf	IN	into	_	ignore	8:12
3	wood	wf	NN	wood%1	wood%1:27:00::	man	13:17
4	or	wf	CC	or	_	ignore	18:20
5	cause	wf	VB	cause%1|cause%2	_	un	21:26
6	to	wf	TO	to	_	ignore	27:29
7	become	wf	VB	become%2	_	un	30:36
8	woody	wf	JJ	woody%3	woody%3:00:00::	man	37:42

# text = debase and make vulgar; 
# id = 00582318-v-1
# type = def
1	debase	wf	VB	debase%2	debase%2:41:00::	man	0:6
2	and	wf	CC	and	_	ignore	7:10
3	make	wf	VB	make%1|make%2	make%2:30:00::	man	11:15
4	vulgar	wf	JJ	vulgar%3	vulgar%5:00:00:lowborn:00	man	16:22
5	;	wf	punc	_	_	ignore	22:23

# text = The Press has vulgarized Love and Marriage
# id = 00582318-v-2
# type = ex
1	The	wf	_	the	_	ignore	0:3
2	Press	wf	_	Press	_	un	4:9
3	has	wf	_	have%2	_	un	10:13
4	vulgarized	wf	_	vulgarize%2	vulgarize%2:30:01::	auto	14:24
5	Love	wf	_	Love	_	un	25:29
6	and	wf	_	and	_	ignore	30:33
7	Marriage	wf	_	Marriage	_	un	34:42

# text = change phonetically as part of a systematic historical change; 
# id = 00584410-v-1
# type = def
1	change	wf	VB	change%1|change%2	change%2:30:00::	man	0:6
2	phonetically	wf	RB	phonetically%4	phonetically%4:02:00::	auto	7:19
3	as	wf	IN	as	_	ignore	20:22
4	part	wf	NN	part%1|part%2|part%4	_	un	23:27
5	of	wf	IN	of	_	ignore	28:30
6	a	wf	DT	a	_	ignore	31:32
7	systematic	wf	JJ	systematic%3	_	un	33:43
8	historical	wf	JJ	historical%3	historical%3:00:04::	man	44:54
9	change	wf	NN	change%1|change%2	_	un	55:61
10	;	wf	punc	_	_	ignore	61:62

# text = Grimm showed how the consonants shifted
# id = 00584410-v-2
# type = ex
1	Grimm	wf	_	Grimm%1	_	un	0:5
2	showed	wf	_	shew%2|show%2	_	un	6:12
3	how	wf	_	how	_	ignore	13:16
4	the	wf	_	the	_	ignore	17:20
5	consonants	wf	_	consonant%1	_	un	21:31
6	shifted	wf	_	shift%2	shift%2:30:12::	auto	32:39

# text = convert into a mineral substance
# id = 00585705-v-1
# type = def
1	convert	wf	VB	convert%1|convert%2	convert%2:30:03::	man	0:7
2	into	wf	IN	into	_	ignore	8:12
3	a	wf	DT	a	_	ignore	13:14
4	mineral	wf	JJ	mineral%1|mineral%3	mineral%3:01:01::	man	15:22
5	substance	wf	NN	substance%1	_	un	23:32

# text = go mad, go crazy; 
# id = 00584810-v-1
# type = def
1	go	wf	VB	go%1|go%2|go%3	_	un	0:2
2	mad	wf	JJ	mad%3	mad%5:00:00:insane:00	man	3:6
3	,	wf	punc	_	_	ignore	6:7
4	go	wf	JJ	go%1|go%2|go%3	_	un	8:10
5	crazy	wf	NN	crazy%1|crazy%3	crazy%5:00:00:insane:00	man	11:16
6	;	wf	punc	_	_	ignore	16:17

# text = He flipped when he heard that he was being laid off
# id = 00584810-v-2
# type = ex
1	He	wf	_	he	_	ignore	0:2
2	flipped	wf	_	flip%2	flip%2:30:13::	auto	3:10
3	when	wf	_	when	_	ignore	11:15
4	he	wf	_	he	_	ignore	16:18
5	heard	wf	_	hear%2|heard%3	_	un	19:24
6	that	wf	_	that	_	ignore	25:29
7	he	wf	_	he	_	ignore	30:32
8	was	wf	_	be%2	_	un	33:36
9	being	wf	_	being%1|be%2	_	un	37:42
10	laid	wf	_	lay%2|laid%3	_	un	43:47
11	off	wf	_	off%2|off%3|off%4	_	un	48:51

# text = convert into cutin
# id = 00586073-v-1
# type = def
1	convert	wf	VB	convert%1|convert%2	convert%2:30:03::	man	0:7
2	into	wf	IN	into	_	ignore	8:12
3	cutin	wf	NN	cutin%1	cutin%1:27:00::	man	13:18

# text = convert into slag
# id = 00585907-v-1
# type = def
1	convert	wf	VB	convert%1|convert%2	convert%2:30:03::	man	0:7
2	into	wf	IN	into	_	ignore	8:12
3	slag	wf	NN	slag%1|slag%2	slag%1:27:00::	man	13:17

# text = burn with great heat and intense light; 
# id = 00585148-v-1
# type = def
1	burn	wf	VB	burn%1|burn%2	_	un	0:4
2	with	wf	IN	with	_	ignore	5:9
3	great	wf	JJ	great%1|great%3	_	un	10:15
4	heat	wf	NN	heat%1|heat%2	heat%1:07:01::	man	16:20
5	and	wf	CC	and	_	ignore	21:24
6	intense	wf	JJ	intense%3	_	un	25:32
7	light	wf	NN	light%1|light%2|light%3|light%4	light%1:19:00::	man	33:38
8	;	wf	punc	_	_	ignore	38:39

# text = the powder deflagrated
# id = 00585148-v-2
# type = ex
1	the	wf	_	the	_	ignore	0:3
2	powder	wf	_	powder%1|powder%2	_	un	4:10
3	deflagrated	wf	_	deflagrate%2	deflagrate%2:30:00::	auto	11:22

# text = convert into a sulfate
# id = 00585986-v-1
# type = def
1	convert	wf	VB	convert%1|convert%2	convert%2:30:03::	man	0:7
2	into	wf	IN	into	_	ignore	8:12
3	a	wf	DT	a	_	ignore	13:14
4	sulfate	wf	NN	sulfate%1|sulfate%2	sulfate%1:27:00::	man	15:22

# text = pour or flow in a steady stream; 
# id = 00584604-v-1
# type = def
1	pour	wf	VB	pour%2	pour%2:38:03::	man	0:4
2	or	wf	CC	or	_	ignore	5:7
3	flow	wf	VB	flow%1|flow%2	_	un	8:12
4	in	wf	IN	in	_	ignore	13:15
5	a	wf	DT	a	_	ignore	16:17
6	steady	wf	JJ	steady%1|steady%2|steady%3|steady%4	steady%3:00:00::	man	18:24
7	stream	wf	NN	stream%1|stream%2	stream%1:04:00::	man	25:31
8	;	wf	punc	_	_	ignore	31:32

# text = mist rolled in from the sea
# id = 00584604-v-2
# type = ex
1	mist	wf	_	mist%1|mist%2	_	un	0:4
2	_	glob|a	_	roll_in%2	roll_in%2:30:00::	auto	_
3	rolled	cf|a	_	roll%2|rolled%3	_	un	5:11
4	in	cf|a	_	in	_	ignore	12:14
5	from	wf	_	from	_	ignore	15:19
6	the	wf	_	the	_	ignore	20:23
7	sea	wf	_	sea%1	_	un	24:27

# text = tourists rolled in from the neighboring countryside
# id = 00584604-v-3
# type = ex
1	tourists	wf	_	tourist%1	tourist%1:18:00::	man	0:8
2	_	glob|b	_	roll_in%2	roll_in%2:30:00::	auto	_
3	rolled	cf|b	_	roll%2|rolled%3	_	un	9:15
4	in	cf|b	_	in	_	ignore	16:18
5	from	wf	_	from	_	ignore	19:23
6	the	wf	_	the	_	ignore	24:27
7	neighboring	wf	_	neighbor%2|neighboring%3	_	un	28:39
8	countryside	wf	_	countryside%1	_	un	40:51

# text = transform (a metal) into an ore
# id = 00585606-v-1
# type = def
1	transform	wf	VB	transform%2	_	un	0:9
2	_	aux	_	_	_	_	_
3	(	wf	punc	_	_	ignore	10:11
4	a	wf	DT	a	_	ignore	11:12
5	metal	wf	NN	metal%1|metal%2|metal%3	metal%1:27:01::	man	13:18
6	)	wf	punc	_	_	ignore	18:19
7	_	aux	_	_	_	_	_
8	into	wf	IN	into	_	ignore	20:24
9	an	wf	DT	an	_	ignore	25:27
10	ore	wf	NN	ore%1	ore%1:27:00::	man	28:31

# text = convert (oxygen) into ozone
# id = 00585805-v-1
# type = def
1	convert	wf	VB	convert%1|convert%2	convert%2:30:03::	man	0:7
2	_	aux	_	_	_	_	_
3	(	wf	punc	_	_	ignore	8:9
4	oxygen	wf	NN	oxygen%1	oxygen%1:27:00::	auto	9:15
5	)	wf	punc	_	_	ignore	15:16
6	_	aux	_	_	_	_	_
7	into	wf	IN	into	_	ignore	17:21
8	ozone	wf	NN	ozone%1	ozone%1:27:00::	auto	22:27

# text = become sticky
# id = 00586387-v-1
# type = def
1	become	wf	VB	become%2	_	un	0:6
2	sticky	wf	JJ	sticky%3	_	un	7:13

# text = change into a duplex
# id = 00586157-v-1
# type = def
1	change	wf	VB	change%1|change%2	change%2:30:01::	man	0:6
2	into	wf	IN	into	_	ignore	7:11
3	a	wf	DT	a	_	ignore	12:13
4	duplex	wf	NN	duplex%1|duplex%2|duplex%3	duplex%1:06:02::	man	14:20

# text = block the action of
# id = 00586598-v-1
# type = def
1	block	wf	VB	block%1|block%2	_	un	0:5
2	the	wf	DT	the	_	ignore	6:9
3	action	wf	NN	action%1|action%2	_	un	10:16
4	of	wf	IN	of	_	ignore	17:19

# text = bring into alignment with; 
# id = 00586461-v-1
# type = def
1	bring	wf	VB	bring%2	_	un	0:5
2	into	wf	IN	into	_	ignore	6:10
3	alignment	wf	NN	alignment%1	_	un	11:20
4	with	wf	IN	with	_	ignore	21:25
5	;	wf	punc	_	_	ignore	25:26

# text = an amendment to piggyback the current law
# id = 00586461-v-2
# type = ex
1	an	wf	_	an	_	ignore	0:2
2	amendment	wf	_	amendment%1	amendment%1:10:00::	man	3:12
3	to	wf	_	to	_	ignore	13:15
4	piggyback	wf	_	piggyback%1|piggyback%2|piggyback%4	piggyback%2:30:00::	auto	16:25
5	the	wf	_	the	_	ignore	26:29
6	current	wf	_	current%1|current%3	_	un	30:37
7	law	wf	_	law%1	_	un	38:41

# text = reduce in size or number; 
# id = 00586682-v-1
# type = def
1	reduce	wf	VB	reduce%2	_	un	0:6
2	in	wf	IN	in	_	ignore	7:9
3	size	wf	NN	size%1|size%2|size%3	_	un	10:14
4	or	wf	CC	or	_	ignore	15:17
5	number	wf	NN	number%1|number%2	_	un	18:24
6	;	wf	punc	_	_	ignore	24:25

# text = the company downsized its research staff
# id = 00586682-v-2
# type = ex
1	the	wf	_	the	_	ignore	0:3
2	company	wf	_	company%1|company%2	company%1:14:01::	man	4:11
3	downsized	wf	_	downsize%2	downsize%2:30:00::	auto	12:21
4	its	wf	_	its	_	ignore	22:25
5	_	glob|a	_	research_staff%1	research_staff%1:14:00::	man	_
6	research	cf|a	_	research%1|research%2	_	un	26:34
7	staff	cf|a	_	staff%1|staff%2	_	un	35:40

# text = give erotic character to or make more interesting; 
# id = 00586241-v-1
# type = def
